Address,Unit Number,Price,Status,Description,Bathroom Count,Bedroom Count,Property Type,Square Feet,Total Rooms,Listing Agent 1,Listing Agent 2
1454 Bushwick Ave,,9,Perm Off Mkt,"A fully renovated three family townhome in Stuyvesant Heights combines the best of luxurious living and two income suites for investor savvy homeowners who appreciate the benefits of rental income. The modern exterior is slate gray painted brick and topped with a decorative cornice, handsome oak double doors lead to a foyer for access to the three apartments.  The first unit is an extra-large 1 bed-1.5 bath duplex with a finished downstairs that can easily be turned into a large den, library, or office to compliment the half bath and laundry room. There is an open kitchen-living room layout on the entry floor with crown molding, hardwood floors, a decorative pre-renovation fireplace, and exposed slate colorful brick. The spa-like bath with a freestanding tub, single sink vanity, storage, and decorative tile is beside the large bedroom. There are sliding doors to access the deck from the kitchen and another private door to access the patio from the basement area. The deck steps down to the patio and leads to the large yard that gets direct sun and has a shady tree making this conducive for pet owners, gardeners and those looking to enjoy the best of the outdoors at home. Second and third floor units have large three bedrooms with single baths that feature deep soaking tubs and open concept kitchen-living rooms. All units have separate meters for utilities, have central HVAC systems, Pella windows, glass backsplashes, espresso cabinet finishes, and new stainless steel gas appliances throughout. Nearby subway lines are the C, Z, J, A and L with shops and restaurants along Broadway and Ralph Avenues. Access to JFK International Airport via the subway and Air Train make  it possible to travel between the airport and Midtown Manhattan in less than an hour.",0,0,Townhouse,,,nestor.rafello@corciman.com,
1454 Bushwick Ave,,950000,Sold,"Looking for a gut renovated townhome with clean, elegant finishes, lots of natural light and an income suite? Than 1454 Bushwick Avenue is the property you have been searching for. This two family townhouse is nestled in the heart of the Bushwick neighborhood of Brooklyn with ample street parking and easy access to the Subway. There are hardwood floors, crown molding, and custom lighting throughout the 2,300 sq. ft. of space, as well as immense windows and expansive walls that would highlight any art collection. The 3 bed-2.5 bath owner's duplex boasts an open concept kitchen-living room layout with a light industrial aesthetic that is accented with stainless steel appliances and sleek cabinetry. The oversized kitchen leads to a private deck and backyard that are ideal for entertaining, outdoor dining, gardening, and more. The baths have gleaming white subway tile, deep soaking tubs, rainfall style showers, low flush toilets, and deep vanities. The one bed-one bath rental unit is duplexed with a fully finished, tiled basement, lots of living space, a beautiful kitchen with new stainless steel appliances, and optional access to the backyard. It is a 4 minute walk to the L train, 3 minute walk to the J & Z trains, and an 8 minute walk to the A&C trains. Shopping and dining options are a block away as you explore Broadway making life in Bushwick easy and enjoyable.",0,0,Townhouse,,,roseannb.shepodd@corciman.com,
146 LINCOLN PL,4R,1875,Active,"Large (Half floor of large 20 x 50 Historic Brownstone) sunny, studio apartment. Neat, clean, wood floors, located in triple prime Park Slope in a historic (c. 1890) brownstone on Lincoln Place off 7th Avenue. In building laundry, heat and hot water included. Some storage available in basement. Perfect starter apartment on quiet, beautiful, tree-lined block. New Ikea kitchen w/ d/w. Laundry in basement. Perfection. Pets on approval. Apartment Features: Prewar detail, Light - excellent, Modern kitchen, Storage space, Washer/dryer, Dishwasher Building Features:",1,0,Condo,,2,ninam.richards@corciman.com,
148 6TH AVE,5RR,2000,Active,"Great one bedroom on a prime Park Slope location. Apartment features beautiful wood floors, renovated kitchen, gets good light.Tenants pay all utilities. Call now to view this beautiful apartment! Apartment Features:  Building Features:",1,1,Condo,,2,nick.reiss@corciman.com,
148-09 Northern Boulevard,6D,539672,Sold,"Rarely available 939 sqft, 2 Bed, 2 Bath condo located on the 6th floor of the Northern Lights Condominium, a Pre-war, condo building in Flushing, with East, West & North exposures. Originally a 2 Bed, 1 Bath, this condo has been tastefully renovated to a 2 Bed, 2 Bath. This apartment features many original Pre-war details throughout including, restored hardwood floors with mahogany inlay, high ceilings, crown moldings and a wood burning fireplace. When you enter the apartment you are welcomed by the gracious foyer which leads into the grand living and dining area. This home features an enormous living room with wood burning fireplace, windowed eat-in kitchen with stainless steel appliances, custom wood cabinetry, white ceasarstone countertops and glass tile backsplash. The two full bathrooms are  newly renovated featuring basket weave mosaic floor tile and new fixtures.  Northern Lights Condominium is a full service, gated condo building offering amenities that include a common laundry room and beautiful landscaped courtyard, live-in super and porter. The building is also pet-friendly. Located on Northern Blvd, close to restaurants, shopping, parks and transportation.",2,2,Condo,939,4,michaeli.pigott@corciman.com,susannev.tamura@corciman.com
148-09 Northern Boulevard,4C,792163,Sold,"Rarely available 1,512 sqft, classic six condo located on the 4th floor of the Northern Lights Condominium, a Pre-war, condo building in Flushing, with North, South, East and West exposures. Originally a 2 Bed, 1 Bath, this condo has been tastefully renovated to a 3 Bed and 2 Bath. This apartment features many original Pre-war details throughout including, restored hardwood floors with mahogany inlay, high ceilings, crown moldings and a wood burning fireplace. When you enter the apartment you are welcomed by the gracious foyer which leads into the grand living and dining area. This home features an enormous living room adjacent to a modern windowed kitchen with stainless steel appliances, custom wood cabinetry, white ceasarstone countertops and glass tile backsplash. The living room extends into a a spacious great room complete with wood burning fireplace. The two full bathrooms are windowed and are also newly renovated featuring basket weave mosaic floor tile and new fixtures. Northern Lights Condominium is a full service, gated condo building offering amenities that include a common laundry room and beautiful landscaped courtyard, live-in super and porter. The building is also pet-friendly. Located on Northern Blvd, close to restaurants, shopping, parks and transportation. Photos shown are of model unit.",2,3,Condo,1512,6,michele.pigott@corciman.com,susannev.todd@corciman.com
148-09 Northern Boulevard,3A,916425,Sold,"Rarely available 1,605 sqft,  located on the 3rd floor of the Northern Lights Condominium, a Pre-war, condo building in Flushing, with North, South, East and West exposures. Originally a 3 Bed, 2 Bath, this condo has been tastefully renovated to a convertible 4 Bed and 2 Bath. This apartment features many original Pre-war details throughout including, restored hardwood floors with mahogany inlay, high ceilings, crown moldings and a wood burning fireplace. When you enter the apartment you are welcomed by the gracious foyer which leads into the grand living and dining area. This home features an enormous living room, with wood burning fireplace, adjacent to a modern windowed kitchen with stainless steel appliances, custom wood cabinetry, white stone countertops and glass tile backsplash. The two full bathrooms are windowed and are also newly renovated featuring basket weave mosaic floor tile and new fixtures. Northern Lights Condominium is a full service, gated condo building offering amenities that include a common laundry room and beautiful landscaped courtyard, live-in super and porter. The building is also pet-friendly. Located on Northern Blvd, close to restaurants, shopping, parks and transportation.",2,4,Condo,1605,6,nicholas.ramlochan@corciman.com,the.wang@corciman.com
148-09 Northern Boulevard,3E,733140,Sold,"Rarely available 1,190 sqft, condo located on the 3rd floor of the Northern Lights Condominium, a Pre-war, condo building in Flushing, with North, East exposures. Originally a 2 Bed, 1 Bath, this condo has been tastefully renovated to a convertible 3 Bed and 2 Bath. This apartment features many original Pre-war details throughout including, restored hardwood floors with mahogany inlay, high ceilings, crown moldings and a wood burning fireplace. When you enter the apartment you are welcomed by the gracious foyer which leads into the grand living and dining area. This home features an enormous living room, with wood burning fireplace, adjacent to a modern windowed kitchen with stainless steel appliances, custom wood cabinetry, white stone countertops and glass tile backsplash. The two full bathrooms are newly renovated featuring basket weave mosaic floor tile and new fixtures. Northern Lights Condominium is a full service, gated condo building offering amenities that include a common laundry room and beautiful landscaped courtyard, live-in super and porter. The building is also pet-friendly. Located on Northern Blvd, close to restaurants, shopping, parks and transportation. Photos shown are of model unit.",2,2,Condo,1190,4.5,nick.rand@corciman.com,tiffany.watt@corciman.com
1487 Sterling Pl,,875000,Sold,"1487 Sterling Place is a diamond in the rough waiting for the right buyer who will recognize its beauty and restore it to modern day magnificence. Built in 1901 this two family, barrel front brick townhouse is nestled amongst similar rowhouses that harken to a bygone area. The three level, 22 x 55 foot, 3,492 square foot property sits on a deep 127.75 foot lot and has very high ceilings, crown molding, immense windows for lots of natural sunlight, and decorative details like original moulding and hardwood floors. The barrel front creates an expansive living room and large rooms that overlook the street and allow you to enjoy the neighborhood below. This property offers buyers two options--as a grand single family home with its 5 bedrooms and 3 baths, or, as a two bedroom duplex unit with basement and a three bedroom investor unit upstairs. The backyard is a blank slate that can become an outdoor patio, grassy lawn or vegetable garden. Lincoln Terrace Park is just a few blocks away and there is easy access to Manhattan with the 3,4 & 5 subway lines nearby.",0,0,Townhouse,,,sandra.singer@corciman.com,
149 LAFAYETTE AVE,5A,975000,Sold,"This pristine  Fort Greene coop unit has been owned and renovated by an Architectural Digest-featured Interior Designer. With both aesthetics and efficiency in mind, no detail has been overlooked.  Two exposures and a multitude of windows make for a bright & sunny living space with treetop views. The spacious living area provides enough room for a separate dining area, and includes a tucked-away storage closet, which, like all of the closets in the home, is fitted with an Elfa organizing system. 
 The bright, well-designed  kitchen features under cabinet lighting, an extra-deep sink, a Multi-Pure water filter,  Bosch dishwasher, fridge, electric oven and vented hood, and Miele gas cooktop. Storage is maximized with double-deep, soft-closing drawers. Counters & backsplash are marble, and there's a cute breakfast bar for two.  
 Both bedrooms are good-sized with ample closets that are equipped with Elfa systems and Artemide lighting (which turns on when you open the door).  The bathroom has been newly remodeled to include radiant floor heating, a soaking tub, a hand shower, and a vented Whisperlite fan.  The full-sized LG washer and vented gas dryer are conveniently located just outside the bath. Additional features include recessed lighting, Lutron dimmers, and Nest smoke alarms.  
 This very well-run and friendly coop has a pleasant front garden, free bike storage, and storage cages for a nominal fee. Best of all, this apartment is located in the true heart of Fort Greene, with its abundant shops & restaurants, Saturday Farmer's Market, fabulous Fort Greene Park, and access to multiple subway lines and Downtown Brooklyn!",1,2,Co-op,,4,liora.mcmaster@corciman.com,
1495 Lincoln Pl,2,2450,Temp Off Mkt,"Amazing Full Floor renovated 3 bedroom 1 bath with large Outdoor Deck available ASAP in Crown Heights! This 2nd floor unit has a large living/dining area, high ceilings, wood floors, and exposed brick! Private access to huge outdoor Terrace included! Brand new modern kitchen and bathroom. Master bedroom is king sized, while the other two rooms are queen sized. Located only 2 blocks from the Utica 2/3/4/5 trains, one block away from Lincoln Terrace Park and One block from Eastern Parkway, which takes you 10 mins to the Brooklyn Museum. You couldn't ask for a more convenient location. Owner is installing coin-operated washer/dryer in the basement for convenient laundry access. Large storage cage available for $50 per month. Cold Water included! First, last & security due at signing. CYOF, No Fee! Pets and guarantors upon approval. Available ASAP!",1,3,Townhouse,900,5,lena.martov@corciman.com,
1495 Lincoln Pl,2nd Floor,2240,Temp Off Mkt,"Net Effective Rent Advertised....1 Month Free & No Fee over a 15 Month Lease! Newly renovated True 3 Bedroom Home with Private Roof Terrace in Crown Heights...available ASAP! This full-floor apartment features large living & dining area, 3 spacious bedrooms and a modern bathroom. Hardwood floors and exposed Brick spans through the apartment! The granite Kitchen is designed with stainless steel appliances and cherry wooden cabinetry. The king-sized Master Bedroom has 2 exposures and access onto an immense roof deck, dedicated to the unit.Located merely 2 blocks from the Utica 2/3/4/5 trains and 1 block away from both Lincoln Terrace Park and Eastern Parkway.  You couldn't ask for a more convenient location!Coin-operated washer/dryer provided in the basement for convenient laundry access. Large storage cage available for $50 per month. Cold Water included! Requirements: Applicants need annual income of 40X monthly rent or higher and good credit worthiness. First, last & security due at signing. Pets and guarantors upon approval. Available ASAP. -- Net Rent Advertised is $2,240 over 15 months, gross/actual rent is $2,400 -- please inquire for more details.",1,3,Townhouse,900,5,markr.nielsen-saaf@corciman.com,
15 EAST 26TH ST,9E,4250000,Sold,"Madison Square Park LuxuryAt just over 2000 square feet, Residence 9E at 15 Madison Square North is a spectacularly appointed 3 Bedroom, 3.5 Bathroom loft-like home located at the top of Madison Square Park.  This is a truly special layout with excellent proportions and flow. Ceiling heights upward of 11.5-ft and massive 8-ft windows provide a light and airy voluminous feel. Facing entirely north, the apartment enjoys wonderful views, with nearby beautiful pre-war buildings, City views, and the iconic Empire State Building all in frame. 
 A gracious and proper foyer welcomes you into this impressive home. There is a beautiful powder room, laundry room and excellent storage as well. The Arclinea kitchen is fully equipped with state of the art appliances (Sub-Zero, Miele, Viking and Kitchen-aid) and includes a 6-burner stove with pot filler and large peninsula that can seat four. The over-sized living room and separate dining provide for gracious entertaining. 
 The luxurious master bedroom suite with walk-in closet, plus two additional closets, features a spa-like five-fixture master bath with floor-to-ceiling Bianco Dolomiti marble and a beautiful custom-designed Waterworks vanity. The two additional bedrooms are appointed with en-suite bathrooms and are also adorned with Waterworks fixtures. Solid walnut hardwood floors are throughout the home alongside a fully vented washer/dryer. Individual room temperature controls complete this wonderful home. 
 15 Madison Square North is a full-service condominium on Madison Square Park and features a custom designed, state of the art Fitness Center, playroom, individual storage, wine storage, bike storage and an amazing Roof terrace. 
There is an ongoing reserve assessment of $42.97 a month. In addition, there is a capital assessment of $475.66 a month.",3.5,3,Condo,2035,6,flora.gallery@corciman.com,aaron.babst@corciman.com
15 EAST 26TH ST,9E,,Sold,"Madison Square Park LuxuryAt just over 2000 square feet, Residence 9E at 15 Madison Square North is a spectacularly appointed 3 Bedroom, 3.5 Bathroom loft-like home located at the top of Madison Square Park.  This is a truly special layout with excellent proportions and flow. Ceiling heights upward of 11.5-ft and massive 8-ft windows provide a light and airy voluminous feel. Facing entirely north, the apartment enjoys wonderful views, with nearby beautiful pre-war buildings, City views, and the iconic Empire State Building all in frame. 
 A gracious and proper foyer welcomes you into this impressive home. There is a beautiful powder room, laundry room and excellent storage as well. The Arclinea kitchen is fully equipped with state of the art appliances (Sub-Zero, Miele, Viking and Kitchen-aid) and includes a 6-burner stove with pot filler and large peninsula that can seat four. The over-sized living room and separate dining provide for gracious entertaining. 
 The luxurious master bedroom suite with walk-in closet, plus two additional closets, features a spa-like five-fixture master bath with floor-to-ceiling Bianco Dolomiti marble and a beautiful custom-designed Waterworks vanity. The two additional bedrooms are appointed with en-suite bathrooms and are also adorned with Waterworks fixtures. Solid walnut hardwood floors are throughout the home alongside a fully vented washer/dryer. Individual room temperature controls complete this wonderful home. 
 15 Madison Square North is a full-service condominium on Madison Square Park and features a custom designed, state of the art Fitness Center, playroom, individual storage, wine storage, bike storage and an amazing Roof terrace. 
There is an ongoing reserve assessment of $42.97 a month. In addition, there is a capital assessment of $475.66 a month.",3.5,3,Condo,2035,6,jonathan.keaton@corciman.com,
15 EAST 26TH ST,17E,4405000,Sold,"Situated right on Madison Park, this full service, sprawling loft condominium offers timeless elegance coupled with generous space. The chic 3 bedroom, 3.5 bathroom property has a bonus room that can serve as an office or playroom. Ceiling heights are in excess of 12ft and are complimented by generous, deep-set windows that allow light to stream into the apartment. A spacious foyer leads into a magnificent living/dining room with majestic views of the Empire State and Chrysler buildings. All three bedrooms are large and quiet, with abundant closet space. The Master bedroom features a sizable walk-in closet and both additional bedrooms are split layout for privacy. The spa-like bathrooms have Waterworks fixtures with marble and Ann Sacks custom tiles. The master bath includes a Cambridge soaking tub and an oversized walk-in shower. The kitchen offers top-of-the-line appliances including Sub-zero, Viking and Miele. White Quartz custom counter tops further compliment the space along with an over-the-stove pot filler and dual-zone wine storage. Additionally, the apartment is outfitted with a washer/dryer system that vents out of the apartment. The apartment comes with a deeded storage room and 100-bottle wine cellar. Amenities include a state-of-the-art gym, roof deck and  playroom.",3.5,3,Condo,2400,6,tami.vitolo@corciman.com,enma.gallery@corciman.com
15 WEST 81ST ST,4H,2325000,Sold,"Stunning 2 bed, 2 bath designed by Miles Redd! This meticulously renovated home has been published multiple times, including The Big Book of Chic and House Beautiful. From the moment one enters the impressive gallery with hand-painted De Gournay wall coverings and original herringbone floors hand stained in a zebra design, its apparent no detail has been overlooked. The graciously proportioned living room is flooded with sunlight from three large windows and is perfect  for entertaining. A separate hallway leads to the bedroom suite with a master that features hand-painted horn and ivory walls and trim by Agustin Hurtado and a second bedroom outfitted with natural cork wallpaper. Both bedrooms have en-suite baths fully clad in travertine and marble, Waterworks fixtures and radiant heat floors. The kitchen is outfitted with custom cabinets and Miele, Sub-Zero and Wolf appliances. Even the closets, by California Closets, are lacquered bright red and fabulous! This is a wonderful opportunity to live in one of the Upper West Sides premier white-glove buildings located near Central Park and directly opposite the Museum of Natural History. Amenities at 15 West 81st Street include a fitness center, playroom, bike and storage room as well as a 24-hour doorman and live-in super. Flip Tax - 2% PBB.",2,2,Co-op,1458,4.5,paul.saez-fromm@corciman.com,
150 CHARLES ST,4BS,15000000,Sold,"Wrapping two corners at the amenity driven 150 Charles Street Condominium in the West Village, this 3/4 bedroom and 4.5 bath duplex home is flooded with light on three sides and includes a magnificent 52 X 29 landscaped terrace directly off the entertaining rooms of the apartment. Every room of this unique duplex home is flooded with light through beautiful floor to ceiling double pane casement windows. An elegant entry gallery with handsome staircase and wall of windows leads to the 32 X 17 ""Great Room"" with fireplace on the Hudson River and direct access to the south/west facing expansive terrace. The lushly landscaped terrace overlooking the Hudson River is sun-drenched during the day and offers memorizing sunsets in the evening. The top of the line custom kitchen and 19' X 11' dining room are flooded with south light and views to the garden. A 19' X 15' library/ media room completes the public rooms of the apartment and doubles nicely as a 4th bedroom/guest room. The upper level of the duplex includes 3 spacious and bright bedroom suites. The well proportioned master bedroom faces south with open views to the Hudson River and the Freedom Tower and north onto a terrace. The luxurious master bath with a double vanity, soaking tub, glass enclosed stall shower and wall of windows is adjacent to a large walk-in closet. The 2nd corner bedroom is wrapped in casement windows and the 3rd south facing bedroom includes a small balcony - both with en-suite stylishly appointed baths. The apartment is complete with high ceilings, walls of windows, a powder room off the entry foyer, a large laundry room, gorgeous hardwood floors throughout and finishes designed by Alan Wanzenberg. 150 Charles Street is a full service doorman/concierge condominium with terrific amenities including an Olympic sized swimming pool, hot tub and plunge pool, large gym with locker room, sauna and steam rooms, play room and beautiful party room with kitchen and giant flat screen TV. There is a garage under the building with direct access to the apartments.",4.5,4,Condo,4031,7.5,amy.baum@corciman.com,eileena.frank@corciman.com
150 CHARLES ST,3ES,4850000,Sold,"This apartment is available with a tenant in place.  Located in the new amenity driven 150 Charles Condominium on tree-lined Charles Street in the heart of the West Village, this is a very special apartment as the third floor has a ceiling height about one foot higher than all the other floors excepting a few.  There is a ""WOW factor"" with just shy of 11' ceilings and walls of gorgeous casement south facing windows onto charming west 10th Street. The light and sunsets are truly gorgeous in all rooms. The semi-open kitchen is complete with Sub Zero fridge, Wolf oven and cook top, Sub Zero wine cooler, Miele microwave and custom cabinetry. The master bedroom suite includes a luxurious marble bath with tub, double vanity and stall shower. A second bedroom with marble bath ensuite, a handsome powder room off the entry and separate laundry closet with the dryer vented outside complete the floor plan. The apartment feels like a chic loft.  150 Charles is located one block off Hudson River Park and offers a full time doorman, concierge service and on-site management.  There is a lushly planted, generously sized common garden off the lobby, a professional spa, 3000 sq. ft. fitness center, yoga studio, whirlpool, plunge pool, steam room, dry sauna, massage rooms, juice bar, play room, plus event, lounge room with kitchen for hanging out or entertaining. If you like to swim, the pool is 75' and one of the best in the city. A commodious car park on the lower level connects to all apartments.",2.5,2,Condo,1577,4,barbara.benalloul@corciman.com,evamarie.gallery@corciman.com
150 CHARLES ST,4BCS,26900000,Temp Off Mkt,"FANTASTIC OPPORTUNITY!  to combine two of the finest duplex homes at 150 Charles Street to create a 6,700 square foot residence with 2,900 sq ft of south facing outdoor space with views of the Hudson River and Freedom Tower. Wrapping two corners at the amenity driven 150 Charles Street Condominium in the West Village, one can create a 7 bedroom, 7 bath home with 2 powder rooms and access to a magnificent landscaped terrace directly off the entertaining rooms of the apartment. Every room of this unique duplex home is flooded with light through beautiful floor to ceiling double pane casement windows. The apartment features high ceilings, walls of windows, Molteni custom kitchen featuring walnut cabinets and Alabama white marble, Spa like bathrooms with river views and deep soaking tubs and LeFroy Brooks fixtures all clad in white Alabama marble, professional laundry room, gorgeous hardwood floors throughout and finishes designed by Alan Wanzenberg.150 Charles Street offers extensive amenities that include a private covered driveway with parking, hotel concierge service, professional spa with 75-foot pool, 3000 sq. ft. fitness center, yoga studio, whirlpool, plunge pool, steam room, dry sauna, massage rooms, juice bar, event room with kitchen and a kids play room.",8,7,Condo,6701,13,barbarag.berger@corciman.com,evanf.gallery@corciman.com
150 EAST 69TH ST,14S,2575000,Sold,"PICTURES AND FLOOR PLANS COMING SOON, Wonderful layout and views...south and east corner....nice outdoor space facing south. Sophisticated.",2,2,Co-op,0,5,branko.bromberg@corciman.com,gary.gerber@corciman.com
150 EAST 69TH ST,16G,3825000,Sold,"A rare find at the Imperial House, this large, high floor, classic 7 room apartment with three spacious bedrooms and four full baths, has gorgeous, sun-filled, full open city views from every window.  Currently configured in the traditional floorplan, there is  a gracious entry foyer, 3 large bedrooms, a huge living room with balcony, spacious formal dining room, large windowed kitchen, maid's room, 4 full baths, including 2 en-suite, closets including  walk-ins, and a washer/dryer. This Estate apartment can use some updating, so bring your contractor to make it your own. The Imperial House is one of the most highly sought after, top notch coops on the Upper East Side west of Third Avenue, with a full staff including, 24 hour doormen, concierge, elevator attendants, and on site building manager. Amenities include a new fitness room, garage, bike room, storage, courtyard, laundry room and the convenience of a circular driveway. Pets are allowed.",4,4,Co-op,2468,7,edith.flatow@corciman.com,jonathon.kellert@corciman.com
150 MYRTLE AVE,2901,1382000,Sold,"This  impeccably-designed high-floor 2 bedroom 2 bathroom condo with endless views of Brooklyn and midtown Manhattan features soaring ceilings and floor to ceiling windows allowing for an abundance of natural light, warm Brazilian hardwood floors, efficient layout and great closet space. The stylish Chef's kitchen is furnished with appliances by Electrolux and Liebherr, granite counter tops, customs wood cabinetry and Center Island finish this modern cookery. The master bath features double sinks, seamless glass shower and a separate Zuma Deep Soaking Bathtub.  There is a washer/dryer  in the apartment for your convenience.  Located in the heart of Downtown Brooklyn, Toren Condominium has a 25-year Tax Abatement and luxurious amenities such as 24-Hour Concierge Service, Attended Parking, Library/Lounge, 2,000 sq ft. Fitness Center, Heated Indoor Pool w/ Sauna, and Multi-Level Roof Garden with Outdoor Movie Screening. Conveniently located to the A,F,B,Q,R & C subway lines and Metropolitan City Market on the ground floor of the building.",2,2,Condo,1113,4,roseann.shenker@corciman.com,
150 NASSAU ST,2C,2100000,Sold,"Have the best of old and new in this recently converted condominium on the northern-most edge of the Financial District. This gorgeous corner 2bed/2bath loft has soaring 14' ceilings and beautiful arched windows that fill the home with sunlight and overlook City Hall Park. The beautiful open kitchen boasts walnut Boffi cabinetry and marble countertops, along with top-of-the-line stainless steel Sub-Zero, Viking and Miele appliances. The master bedroom is large enough for separate sitting area, has two closets,one a large walk-in and a beautiful 5-fixture en-suite bath clad in marble. The lofts split bedroom layout allows for added privacy, while the open living/dining area is great entertaining. Wide-plank oak flooring, central A/C,  and an in-unit washer/dryer round out this amazing space. 150 Nassau, a Landmark Pre-War Beaux Arts Condominium, is conveniently located  where City Hall, Tribeca and FiDi converge. The 1890s former printing office offers a full menu of amenities, including 24 hour doorman/concierge, Florence Knoll designed lobby, amazing roof deck, ground-level health club and on-site parking. Pet and investor friendly, with 421-G tax-abatement, and located by all major transportation.",2,2,Condo,1571,4,maurice.ofer@corciman.com,
150 W End Ave,17L,1366000,Sold,"Oversized two bedroom at Lincoln Towers! Big and bright, this two bedroom two bath home offers generous rooms and a great layout.  This sun-flooded corner unit features a private 26 ft. terrace, large dining alcove, pass-through kitchen, very generous master bedroom with en-suite bath and tons of closets- two that are walk-ins.  Move right in to this beautifully maintained apartment or bring your designer to suit your tastes.  Building amenities at Lincoln Towers include a 24 hour doorman, gym, laundry room, landscaped outdoor space and much more! Conveniently located in the heart of the Upper West Side, the location is close to Lincoln Center, the Hudson River Promenade, both Riverside and Central Parks, Columbus Circle and Whole Foods and Fairway and Trader Joe's. Great shopping surrounds and transportation is a breeze with multiple subway and bus lines merely blocks away.  Maintenance includes utilities.",2,2,Co-op,0,4,rowan.sherwood@corciman.com,
150 West 56th St,3606,2900,Rented,"Application Pending.  ALCOVE STUDIO IN THE SKY -- This 36th floor, sunny, oversized studio with a wall of windows taking in sweeping bright open north facing views, sits high above midtown Manhattan in one of the neighborhood's most well-known condominiums, City Spire.  This studio makes for a unique and comfortable primary residence or secondary home.  There are hardwood herringbone floors throughout, a pass through kitchen with stainless appliances, three good sized closets and room for a separate sleeping area, dining table, and living room set. Enjoy the convenience of a washer/dryer on the floor. City Spire is a full service condominium with 24-hour doorman and concierge, a state-of-the-art health club with 50' pool, sauna and steam room, playroom, business center, and parking garage.  There is even laundry on every floor.  Conveniently located near transportation, shopping, restaurants, Columbus Circle, and Central Park.  Sorry, pets are not permitted.",1,0,Condo,455,2.5,deborah.dwyer@corciman.com,jessica.johnson@corciman.com
150 West 56th St,4312,1275000,Active,"Live your best life high up in Midtown West. White glove service, birds-eye views, and luxury living at City Spire Condominium, 150 West 56th Street. High up on the 43rd Floor, this spacious one bedroom with 1.5 baths has soaring iconic city views from the East and River Views from the South. Classic entry foyer gives you access to the roomy living room and alcove dining space. The enormous master bedroom has an ensuite bath. Original solid herringbone wood floors throughout. This is the best value in the building with low monthlies and attractive PPSF. 150 W. 56th St is located in the heart of Midtown: 24-hour doorman/concierge, valet/maid service is available, residents lounge, conference room, gym, pool, playroom and full-service garage. 150 West 56th Street is also in close proximity to Central Park, The Theatre District, Carnegie Hall, shops and restaurants.A Special Assessment of $81/month until Jan. 2020. Shown by appointment only",1.5,1,Condo,864,3.5,gabrielm.gerasmiczyk@corciman.com,alisia.barron@corciman.com
150 West 56th St,4312,1275000,Active,"Live your best life high up in Midtown West. White glove service, birds-eye views, and luxury living at City Spire Condominium, 150 West 56th Street. High up on the 43rd Floor, this spacious one bedroom with 1.5 baths has soaring iconic city views from the East and River Views from the South. Classic entry foyer gives you access to the roomy living room and alcove dining space. The enormous master bedroom has an ensuite bath. Original solid herringbone wood floors throughout. This is the best value in the building with low monthlies and attractive PPSF. 150 W. 56th St is located in the heart of Midtown: 24-hour doorman/concierge, valet/maid service is available, residents lounge, conference room, gym, pool, playroom and full-service garage. 150 West 56th Street is also in close proximity to Central Park, The Theatre District, Carnegie Hall, shops and restaurants.A Special Assessment of $81/month until Jan. 2020. Shown by appointment only",1.5,1,Condo,864,3.5,julie.kern@corciman.com,
151 EAST 58TH ST,43F,14500,Rented,"*Leases Signed* 151 East 58th Street: Home to one of the most exclusive residential condominiums in New York City; Apt 43F at One Beacon Court delivers breathtaking Skyline and Western Central Park Views. This fabulous 2 bedroom, 2.5 bathroom offers classic design and sophisticated living; a grand entry foyer leads to a spacious living room with floor to ceiling windows. The Master Bedroom suite has two huge walk-in closets and a stunning five fixture marble master bathroom. The modern kitchen  has top of the line appliances; Wolf & Sub-Zero with  custom cabinetry.  One Beacon Court is a luxury full-service condominium: 24HR doorman, concierge and valet parking. Amenities include a gym, conference center, which can also be utilized as a party room with a catering kitchen. This is a non-smoking home, pets are approved on a case-by-case basis.",2.5,2,Condo,1729,4,enma.gallery@corciman.com,
151 EAST 58TH ST,43F,14500,Rented,"*Leases Signed* 151 East 58th Street: Home to one of the most exclusive residential condominiums in New York City; Apt 43F at One Beacon Court delivers breathtaking Skyline and Western Central Park Views. This fabulous 2 bedroom, 2.5 bathroom offers classic design and sophisticated living; a grand entry foyer leads to a spacious living room with floor to ceiling windows. The Master Bedroom suite has two huge walk-in closets and a stunning five fixture marble master bathroom. The modern kitchen  has top of the line appliances; Wolf & Sub-Zero with  custom cabinetry.  One Beacon Court is a luxury full-service condominium: 24HR doorman, concierge and valet parking. Amenities include a gym, conference center, which can also be utilized as a party room with a catering kitchen. This is a non-smoking home, pets are approved on a case-by-case basis.",2.5,2,Condo,1729,4,jimmy.kahn@corciman.com,
151 FROST ST,3,2700,Rented,"FOR NOV 1ST.....Renovated True 2 Bedroom on treelined Frost Street in Williamsburg...the Little Italy of Brooklyn! This full-floor unit is in great condition featuring hardwood floors, high ceilings, stainless steel kitchen  and built-in air conditioning. Enter the unit through a private foyer into a large living and dining area with tiled flooring and large windows. Both bedrooms are queen sized and are equal in proportions....shares are welcomed! Utilities are paid separately. 3rd floor walkup in a 4 unit building!Rare to find such space in such location under $3K! A new breed of cafes, boutiques, and restaurants are all here for your convenience along Graham Avenue. It's merely a few blocks from McCarren Park & the Graham L and Lorimer L & G subway lines. Commute into Manhattan within minutes! Please schedule showing via exclusive broker with 24 hours notice.",1,2,Condo,850,4,lawrencei.marshall@corciman.com,
